Key,Type,Desc,English

VAB/PartsPicker/0505-LifeSupport,Text,,Life Support

PartModules/LifeSupportRecycler/Name,Text,,Life Support
KLSS/LSR/RecyclerEnabled,Text,,Recycler Enabled
KLSS/LSR/StartRecycler,Text,,Start Recycler
KLSS/LSR/Tooltip/StopRecycler,Text,,Stop Recycler
KLSS/LSR/Tooltip/ToggleRecycler,Text,,Toggle Recycler
KLSS/LSR/Formulas/CO2Scrubber,Text,,CO2 Scrubber
KLSS/LSR/Formulas/WaterRecycler,Text,,Water Recycler
KLSS/LSR/Formulas/Combined,Text,,CO2 Scrubber + Water Recycler

PartModules/Greenhouse/Name,Text,,Greenhouse
KLSS/LSR/GreenhouseEnabled,Text,,Greenhouse Enabled
KLSS/LSR/StartGreenhouse,Text,,Start Greenhouse
KLSS/LSR/Tooltip/StopGreenhouse,Text,,Stop Greenhouse
KLSS/LSR/Tooltip/ToggleGreenhouse,Text,,Toggle Greenhouse
KLSS/LSR/Formulas/Greenhouse,Text,,Unfertilized
KLSS/LSR/Formulas/GreenhouseFertilized,Text,,Fertilized

Parts/Title/KLSS_life_support_tank_1v_1x1,Text,,SLSS-100
Parts/Subtitle/KLSS_life_support_tank_1v_1x1,Text,,Small Life-Support Storage
Parts/Manufacturer/KLSS_life_support_tank_1v_1x1,Text,,Yummy Snacks Inc.
Parts/Description/KLSS_life_support_tank_1v_1x1,Text,,The SLSS-100 is a short small-diameter Life-Support storage module. Perfect for your near-Kerbin solo missions or your daring long-distance missions.

Parts/Title/KLSS_life_support_tank_2v_1x1,Text,,MLSS-100
Parts/Subtitle/KLSS_life_support_tank_2v_1x1,Text,,Medium Life-Support Storage
Parts/Manufacturer/KLSS_life_support_tank_2v_1x1,Text,,Yummy Snacks Inc.
Parts/Description/KLSS_life_support_tank_2v_1x1,Text,,The MLSS-100 is a short medium-diameter Life-Support storage module. If you need a service module to go to the Mun this is the part for you!

Parts/Title/KLSS_greenhouse_2v_long,Text,,GRN-250
Parts/Subtitle/KLSS_greenhouse_2v_long,Text,,Medium Cylindrical Greenhouse
Parts/Manufacturer/KLSS_greenhouse_2v_long,Text,,Yummy Snacks Inc.
Parts/Description/KLSS_greenhouse_2v_long,Text,,Our fine botanists have perfected the technology needed to grow Leeks & Snacks in any situation: orbit, ground base, anything!
