Key,Type,Desc,English,Chinese (Simplified),French
VAB/PartsPicker/0505-LifeSupport,Text,,Life Support,生命保障,Support de Vie
PartModules/LifeSupportRecycler/Name,Text,,Life Support,生命保障,Support de Vie
KLSS/LSR/RecyclerEnabled,Text,,Recycler Enabled,循环处理器已启用,Recycleur Activé
KLSS/LSR/StartRecycler,Text,,Start Recycler,启用循环处理器,Démarrer Recycleur
KLSS/LSR/Tooltip/StopRecycler,Text,,Stop Recycler,停用循环处理器,Éteindre Recycleur
KLSS/LSR/Tooltip/ToggleRecycler,Text,,Toggle Recycler,切换循环模式,Basculer Recycleur
KLSS/LSR/Formulas/CO2Scrubber,Text,,CO2 Scrubber,CO2洗涤器,Épurateur de CO2
KLSS/LSR/Formulas/WaterRecycler,Text,,Water Recycler,水回收器,Recycleur d'Eau
KLSS/LSR/Formulas/Combined,Text,,CO2 Scrubber + Water Recycler,CO2洗涤器 + 水回收器,Épurateur CO2 + Recycleur Eau
PartModules/Greenhouse/Name,Text,,Greenhouse,温室,Serre
KLSS/LSR/GreenhouseEnabled,Text,,Greenhouse Enabled,温室已启用,Serre Activée
KLSS/LSR/StartGreenhouse,Text,,Start Greenhouse,启用温室,Démarrer Serre
KLSS/LSR/Tooltip/StopGreenhouse,Text,,Stop Greenhouse,停用温室,Éteindre Serre
KLSS/LSR/Tooltip/ToggleGreenhouse,Text,,Toggle Greenhouse,切换温室模式,Basculer Serre
KLSS/LSR/Formulas/Greenhouse,Text,,Unfertilized,不施肥,Non Fertilisé
KLSS/LSR/Formulas/GreenhouseFertilized,Text,,Fertilized,施肥,Fertilisé
PartModules/Composter/Name,Text,,Composter,堆肥舱,Composteur
KLSS/LSR/ComposterEnabled,Text,,Composter Enabled,堆肥舱已启用,Composteur Activé
KLSS/LSR/StartComposter,Text,,Start Composter,启用堆肥舱,Démarrer Composteur
KLSS/LSR/Tooltip/StopComposter,Text,,Stop Composter,停用堆肥舱,Éteindre Composteur
KLSS/LSR/Tooltip/ToggleComposter,Text,,Toggle Composter,切换堆肥模式,Basculer Composteur
KLSS/LSR/Formulas/Composter,Text,,Composter,堆肥,Composteur
KLSS/Notifications/ResourceGraceStarted,Text,,"A vessel has run out of ""{0}""","一艘载具耗尽了""{0}""","Un vaisseau est à court de ""{0}"""
KLSS/Notifications/ResourceExhausted,Text,,"A Kerbal on board ""{0}"" has died from lack of ""{1}""","载具""{0}""上的一名乘员因缺少""{1}""而牺牲","Un Kerbal à bord de ""{0}"" est mort de manque de ""{1}"""
KLSS/UI/AppBar/Title,Text,,Life-Support,生命保障,Support de vie
KLSS/UI/Monitor/Title,Text,,LIFE-SUPPORT,生命保障,SUPPORT DE VIE
KLSS/UI/Monitor/FilterVessels,Text,,Vessels,载具,Vaisseaux
KLSS/UI/Monitor/FilterKerbals,Text,,Kerbals,人员,Kerbals
KLSS/UI/Monitor/FilterBoth,Text,,Both,全部,Tout
KLSS/UI/Monitor/HeaderName,Text,,Name,名称,Nom
KLSS/UI/Monitor/SettingShowEmpty,Text,,Show empty vessels,显示空载具,Voir vaisseaux vides
KLSS/UI/Monitor/SettingActiveOnTop,Text,,Active vessel on top,置顶当前载具,Vaisseau actif en haut
Parts/Title/KLSS_life_support_tank_1v_1x1,Text,,SCS-100,SCS-100,SCS-100
